Monthly Revenue Trend:
2019-09	399516.38
2019-10	1924825.58
2019-11	1627585.73
2019-12	1765856.59
2020-01	1768530.15
2020-02	1581842.77
2020-03	1625218.68
2020-04	1624024.25
2020-05	1517901.45
2020-06	1499406.70
2020-07	1487325.83
2020-08	1565234.99
2020-09	1224905.62
2020-10	1400165.62
2020-11	1309466.00
2020-12	1363881.63
2021-01	1211215.85
2021-02	1110889.52
2021-03	1104999.48
2021-04	1163522.26
2021-05	1083885.88
2021-06	915999.36
2021-07	1062408.29
2021-08	941239.69
2021-09	938583.53
2021-10	864471.37
2021-11	837605.24
2021-12	808376.53
2022-01	758736.35
2022-02	659330.08
2022-03	793952.21
2022-04	621632.62
2022-05	666242.85
2022-06	604940.56
2022-07	540383.36
2022-08	493819.90
2022-09	498778.12
2022-10	423159.62
2022-11	337053.12
2022-12	325152.35
2023-01	266967.99
2023-02	220279.66
2023-03	205672.50
2023-04	145233.68
2023-05	102466.54
2023-06	80552.17
2023-07	17119.77
