168.22	499.63
176.33	486.88
183.37	499.13
222.67	552.96
242.21	607.40
250.68	679.99
257.81	684.44
277.7	792.83
327.55	828.67
331.89	749.31
392.76	804.20
401.66	826.59
425.98	886.88
466.3	611.06
486.52	979.27
522.34	836.65
535.4	929.44
550.69	1053.34
555.74	940.46
562.14	980.82
573.81	919.54
595.03	1088.66
597.61	1058.70
637.56	1072.34
650.1	1185.24
676.53	1068.58
676.56	1109.02
709.37	1183.02
710.57	1147.50
788.55	1201.74
806.48	1303.50
808.85	1233.95
830.86	1292.29
885.57	1367.54
937.77	1347.46
